timestamp,pursuit_control_rate,stanley_control_rate,sta_lat_rate,heading_error_deg,angular_error_deg,lat_error,pursuit_control_deg,stanley_control_deg,steer_angle_deg, feedback_steer_deg,preview_dist,preview_idx,closest_idx,target_east,target_north,target_yaw_deg,closest_east,closest_north,closest_yaw_deg,closest_curvature,cur_east,cur_north,cur_yaw_deg,curvature_feedforward,zero_point_draft,target_spd,cur_spd,error,acceleration,cmd_spd,integral
18:00:13.375,0.6,0.4,0.4,0.00887108,-0.487567,0.0252816,0.605214,0.502896,-2.60114,-0.79,3.20618,85,52,-2.99245,21.2104,16.8629,-3.94644,18.0515,16.5335,-0.00512388,-3.92747,18.0266,16.854,0.2,-3,3,1.13745,1.86255,0,1.5,0
18:00:13.475,0.6,0.4,0.4,0.228397,-0.233002,0.0239445,0.28554,0.304697,-2.83586,-0.79,3.24766,85,52,-2.96345,21.3061,16.8584,-3.91796,18.1474,16.5625,-0.00500919,-3.88924,18.16,16.63,0.2,-3,3,1.1651,1.8349,0,1.5,0
18:00:13.575,0.6,0.4,0.4,0.417465,-0.12951,0.0296427,0.158036,0.274924,-2.90216,-0.79,3.26159,85,52,-2.93446,21.4018,16.8525,-3.88943,18.2432,16.5908,-0.00488953,-3.85429,18.2574,16.435,0.2,-3,3,1.17439,1.82561,0,1.5,0
18:00:13.675,0.6,0.4,0.4,0.66894,0.176347,0.0307713,-0.208465,0.085336,-3.14438,-1.05,3.36678,87,53,-2.84761,21.6889,16.8089,-3.83224,18.4349,16.6446,-0.00443811,-3.80268,18.4263,16.14,0.2,-3,3,1.24452,1.75548,0,1.5,0
18:00:13.775,0.6,0.4,0.4,0.853121,0.247778,0.0379599,-0.291037,0.0785148,-3.17566,-1.5,3.38838,86,52,-2.8187,21.7847,16.8011,-3.80357,18.5307,16.6691,-0.00413328,-3.75961,18.5451,15.948,0.2,-3,3,1.25892,1.74108,0,1.5,0
18:00:13.875,0.6,0.4,0.4,1.00138,0.437323,0.0379649,-0.50347,-0.0471073,-3.32089,-1.86,3.45698,87,52,-2.73203,22.0719,16.7864,-3.74613,18.7222,16.7139,-0.0037247,-3.71006,18.7103,15.785,0.2,-3,3,1.30465,1.69535,0,1.5,0
18:00:13.975,0.6,0.4,0.4,1.12425,0.430817,0.0456443,-0.4948,-0.00253195,-3.29046,-2.39,3.46522,87,52,-2.70316,22.1676,16.7832,-3.71736,18.818,16.7348,-0.00356634,-3.66076,18.8477,15.659,0.2,-3,3,1.31015,1.68985,0,1.5,0
18:00:14.075,0.6,0.4,0.4,1.24125,0.669764,0.0399949,-0.751547,-0.205231,-3.49487,-2.66,3.54661,88,52,-2.61655,22.4548,16.7782,-3.6597,19.0095,16.7733,-0.00317932,-3.61833,19.0082,15.537,0.2,-3,3,1.36441,1.63559,0,1.5,0
18:00:14.175,0.6,0.4,0.4,1.32658,0.711181,0.0433913,-0.791299,-0.216163,-3.50715,-2.75,3.57671,89,53,-2.55883,22.6463,16.7756,-3.60193,19.2009,16.8075,-0.00273627,-3.57079,19.154,15.449,0.2,-3,3,1.38447,1.61553,0,1.5,0
18:00:14.275,0.6,0.4,0.4,1.40357,0.937252,0.0342689,-1.02384,-0.432208,-3.71086,-3.02,3.64287,89,52,-2.50111,22.8377,16.7716,-3.573,19.2967,16.8224,-0.00246029,-3.52941,19.3224,15.368,0.2,-3,3,1.42858,1.57142,0,1.5,0
18:00:14.375,0.6,0.4,0.4,1.47682,1.00533,0.0348085,-1.1016,-0.473034,-3.75167,-3.29,3.63154,89,52,-2.44341,23.0292,16.7708,-3.51508,19.4881,16.8474,-0.00188658,-3.4831,19.4736,15.294,0.2,-3,3,1.42103,1.57897,0,1.5,0
18:00:14.475,0.6,0.4,0.4,1.56164,1.28715,0.0215809,-1.38095,-0.749235,-3.99953,-3.47,3.70862,91,53,-2.35683,23.3164,16.7836,-3.45709,19.6795,16.8656,-0.0013123,-3.44501,19.6449,15.222,0.2,-3,3,1.47242,1.52758,0,1.5,0
18:00:14.575,0.6,0.4,0.4,1.62358,1.40734,0.0167427,-1.48767,-0.867479,-4.10083,-3.56,3.76387,90,52,-2.32795,23.4122,16.7906,-3.42807,19.7752,16.8725,-0.00109274,-3.40186,19.8039,15.167,0.2,-3,3,1.50925,1.49075,0,2,0
18:00:14.675,0.6,0.4,0.4,1.66552,1.594,0.00534263,-1.6521,-1.0632,-4.26299,-3.83,3.83846,91,52,-2.24123,23.6993,16.8175,-3.37001,19.9665,16.8829,-0.000712059,-3.36048,19.9795,15.152,0.2,-3,3,1.55898,1.44102,0,2,0
18:00:14.775,0.6,0.4,0.4,1.67226,1.64655,0.000330824,-1.70974,-1.14236,-4.3217,-3.83,3.83123,92,53,-2.18333,23.8908,16.8433,-3.31191,20.1579,16.8893,-0.000420363,-3.31623,20.1425,15.171,0.2,-3,3,1.55416,1.44584,0,2,0
18:00:14.875,0.6,0.4,0.4,1.71839,1.85247,-0.0130186,-1.91973,-1.36937,-4.52239,-4.1,3.83846,92,53,-2.12533,24.0822,16.8764,-3.25381,20.3493,16.8928,-0.000177046,-3.27839,20.3131,15.158,0.2,-3,3,1.55898,1.44102,0,2,0
18:00:14.975,0.6,0.4,0.4,1.75571,1.95452,-0.0185157,-2.02382,-1.47506,-4.6168,-4.37,3.84136,91,52,-2.09628,24.1778,16.8947,-3.22475,20.4449,16.8933,1.02361e-05,-3.23551,20.4732,15.139,0.2,-3,3,1.5609,1.4391,0,2,0
18:00:15.075,0.6,0.4,0.4,1.78549,2.12101,-0.0305417,-2.16868,-1.65672,-4.7603,-4.46,3.88977,91,52,-2.0381,24.3692,16.9345,-3.16664,20.6363,16.8903,0.000527822,-3.19607,20.6445,15.149,0.2,-3,3,1.59318,1.40682,0,2,0
18:00:15.175,0.6,0.4,0.4,1.80717,2.11017,-0.0334004,-2.14457,-1.70482,-4.76947,-4.64,3.91346,93,53,-1.95056,24.6561,17.0012,-3.10855,20.8277,16.8825,0.000778627,-3.14956,20.8075,15.194,0.2,-3,3,1.60897,1.39103,0,2,0
18:00:15.275,0.6,0.4,0.4,1.78783,2.09033,-0.0362384,-2.09307,-1.71227,-4.74831,-4.83,3.97215,93,53,-1.89201,24.8473,17.0478,-3.05048,21.019,16.8727,0.000927971,-3.09755,20.9887,15.26,0.2,-3,3,1.6481,1.3519,0,2,0
18:00:15.375,0.6,0.4,0.4,1.719,1.93831,-0.0311718,-1.93443,-1.59126,-4.6207,-4.91,3.98572,92,52,-1.86267,24.9429,17.072,-3.02146,21.1147,16.8676,0.000842524,-3.04124,21.1569,15.353,0.2,-3,3,1.65715,1.34285,0,2,0
18:00:15.475,0.6,0.4,0.4,1.7141,1.95617,-0.0377948,-1.91737,-1.65577,-4.6491,-4.91,4.05823,93,52,-1.77442,25.2296,17.1501,-2.96345,21.3061,16.8584,0.000754205,-2.99015,21.3483,15.436,0.2,-3,3,1.70549,1.29451,0,2,0
18:00:15.575,0.6,0.4,0.4,1.71226,1.87825,-0.0356576,-1.84783,-1.63044,-4.53407,-5,4.04338,93,52,-1.71535,25.4207,17.2103,-2.90547,21.4975,16.8374,0.00394012,-2.9347,21.5241,15.498,0.2,-3,3,1.69559,1.30441,0,2,0
18:00:15.675,0.6,0.4,0.4,1.74106,1.96461,-0.0453434,-1.89867,-1.75458,-4.67414,-5,4.1159,94,52,-1.62636,25.7071,17.3041,-2.84761,21.6889,16.8089,0.00156474,-2.8852,21.7213,15.563,0.2,-3,3,1.74393,1.25607,0,2,0
18:00:15.775,0.6,0.4,0.4,1.72917,1.92679,-0.0462986,-1.83953,-1.74134,-4.6563,-5,4.16658,94,52,-1.56677,25.898,17.3672,-2.7898,21.8804,16.7951,0.000955971,-2.8307,21.9051,15.638,0.2,-3,3,1.77772,1.22228,0,2,0
18:00:15.875,0.6,0.4,0.4,1.74558,1.95335,-0.0525529,-1.81473,-1.79029,-4.67938,-5,4.28176,95,52,-1.47698,26.1843,17.4706,-2.73203,22.0719,16.7864,0.000603438,-2.77312,22.1176,15.725,0.2,-3,3,1.85451,1.14549,0,2,0
18:00:15.975,0.6,0.4,0.4,1.71146,1.85362,-0.050879,-1.72457,-1.74939,-4.62728,-4.91,4.27579,95,52,-1.41681,26.375,17.5485,-2.67428,22.2633,16.781,0.000294771,-2.71282,22.3118,15.837,0.2,-3,3,1.85053,1.14947,0,2,0
18:00:16.075,0.6,0.4,0.4,1.78826,1.91646,-0.0598825,-1.76134,-1.89055,-4.71804,-4.91,4.32834,97,53,-1.29566,26.7562,17.7183,-2.58769,22.5505,16.777,0.000211145,-2.65798,22.5248,15.93,0.2,-3,3,1.88556,1.11444,0,2,0
18:00:16.175,0.6,0.4,0.4,1.8084,1.90902,-0.061191,-1.7515,-1.91663,-4.7238,-4.91,4.33578,97,53,-1.23465,26.9466,17.8084,-2.52997,22.742,16.7737,0.000372085,-2.60001,22.7217,16,0.2,-3,3,1.89052,1.10948,0,2,0
18:00:16.275,0.6,0.4,0.4,1.87152,2.06621,-0.0758471,-1.86039,-2.09837,-4.86997,-4.91,4.4178,98,53,-1.14255,27.2321,17.9545,-2.47226,22.9335,16.7702,0.000111422,-2.54957,22.9398,16.083,0.2,-3,3,1.9452,1.0548,0,2,0
18:00:16.375,0.6,0.4,0.4,1.88651,2.12299,-0.0828109,-1.89931,-2.17684,-4.94347,-4.91,4.44607,98,53,-1.08074,27.4223,18.0595,-2.41455,23.125,16.7734,-0.000605327,-2.4953,23.144,16.173,0.2,-3,3,1.96405,1.03595,0,2,0
18:00:16.475,0.6,0.4,0.4,1.95592,2.19873,-0.0910906,-1.93163,-2.27791,-5.02199,-4.91,4.52751,99,53,-0.987336,27.7073,18.2229,-2.35683,23.3164,16.7836,-0.00114878,-2.43682,23.3667,16.267,0.2,-3,3,2.01834,0.981659,0,2.5,0
