heading_error_deg,angular_error_deg,lat_error,pursuit_control_deg,stanley_control_deg,steer_angle_deg,preview_dist,preview_idx,closest_idx,target_east,target_north,target_yaw_deg,closest_east,closest_north,closest_yaw_deg,cur_east,cur_north,cur_yaw_deg,cur_spd
-5.267,-13.7242,0.380027,-9.42413,83.0403,46.0545,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26557,-1.67899,-17.278,0.00223607
-5.267,-13.7242,0.380027,-9.42413,83.0403,46.0545,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26557,-1.67899,-17.278,0.00223607
-5.267,-13.7242,0.380027,-9.42413,83.0403,46.0545,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26557,-1.67899,-17.278,0.00223607
-5.26801,-13.7276,0.379913,-9.42421,82.3413,45.6351,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26536,-1.67903,-17.277,0.00316228
-5.26801,-13.7276,0.379913,-9.42421,82.3413,45.6351,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26536,-1.67903,-17.277,0.00316228
-5.26801,-13.7276,0.379913,-9.42421,82.3413,45.6351,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26536,-1.67903,-17.277,0.00316228
-5.26801,-13.7276,0.379913,-9.42421,82.3413,45.6351,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26536,-1.67903,-17.277,0.00316228
-5.26801,-13.7276,0.379913,-9.42421,82.3413,45.6351,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26536,-1.67903,-17.277,0.00316228
-5.26901,-13.7289,0.37985,-9.42777,83.2154,46.1581,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.2654,-1.6789,-17.276,0.002
-5.26901,-13.7289,0.37985,-9.42777,83.2154,46.1581,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.2654,-1.6789,-17.276,0.002
-5.26901,-13.7289,0.37985,-9.42777,83.2154,46.1581,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.2654,-1.6789,-17.276,0.002
-5.26901,-13.7289,0.37985,-9.42777,83.2154,46.1581,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.2654,-1.6789,-17.276,0.002
-5.26901,-13.7289,0.37985,-9.42777,83.2154,46.1581,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.2654,-1.6789,-17.276,0.002
-5.27103,-13.7322,0.379759,-9.42996,83.213,46.1558,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26533,-1.67885,-17.274,0.002
-5.27103,-13.7322,0.379759,-9.42996,83.213,46.1558,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26533,-1.67885,-17.274,0.002
-5.27103,-13.7322,0.379759,-9.42996,83.213,46.1558,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26533,-1.67885,-17.274,0.002
-5.27103,-13.7322,0.379759,-9.42996,83.213,46.1558,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26533,-1.67885,-17.274,0.002
-5.27103,-13.7322,0.379759,-9.42996,83.213,46.1558,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26533,-1.67885,-17.274,0.002
-5.27301,-13.7327,0.379806,-9.43028,83.2112,46.1546,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26551,-1.67876,-17.272,0.002
-5.27301,-13.7327,0.379806,-9.43028,83.2112,46.1546,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26551,-1.67876,-17.272,0.002
-5.27301,-13.7327,0.379806,-9.43028,83.2112,46.1546,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26551,-1.67876,-17.272,0.002
-5.27301,-13.7327,0.379806,-9.43028,83.2112,46.1546,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26551,-1.67876,-17.272,0.002
-5.27301,-13.7327,0.379806,-9.43028,83.2112,46.1546,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26551,-1.67876,-17.272,0.002
