east,north,raw_curvature,smoothed_curvature
2.51249407,36.75238693,-0.030230922814544876,-0.030224874359156002
2.55472423,36.84322946,-0.03158458496768228,-0.03158310052435655
2.5972409,36.9339364,-0.03299726623200993,-0.033002652443725605
2.64005611,37.02450006,-0.0345314698278138,-0.034532298527887875
2.68318289,37.11491205,-0.03618685983869678,-0.03618797306621107
2.72663519,37.20516313,-0.037953432180730606,-0.037960813691107105
2.7704278,37.29524329,-0.039808195115653394,-0.0398101289464346
2.81457615,37.38514188,-0.04164203928414385,-0.04162205415448464
2.85909534,37.47484813,-0.04332329396776643,-0.043322674106572714
2.9039991,37.56435203,-0.044953448294109556,-0.04496886249138896
2.94930062,37.65364371,-0.04664122310468803,-0.04663468503463286
2.99501344,37.74271279,-0.04831550693942322,-0.04831118904790305
3.04115088,37.83154884,-0.049981465822213224,-0.04998824922416821
3.08772606,37.92014131,-0.05169464117802445,-0.05169046884988421
3.13475233,38.00847916,-0.05343143474234816,-0.053428846750458794
3.18224307,38.096551,-0.05521692541231141,-0.05522772533355086
3.23021191,38.18434498,-0.057106385323750126,-0.057108953815022
3.27867319,38.27184849,-0.05902908753137293,-0.05902177753801462
3.32764136,38.35904855,-0.060884339358382805,-0.06088155173766127
3.37713013,38.44593236,-0.06265673138382923,-0.06265987471401224
3.42715232,38.53248735,-0.06436337642851252,-0.06435837429600028
3.47771998,38.61870105,-0.06598471512776395,-0.06598432749142717
3.52884429,38.70456131,-0.06755954632955717,-0.06756076511651672
3.58053596,38.79005621,-0.06913119130579451,-0.06913064392652865
3.63280554,38.87517373,-0.07072875214718319,-0.07073172753188742
3.6856636,38.95990149,-0.07238771703586501,-0.0723948040617801
3.73912103,39.04422657,-0.07410886133243202,-0.07410464094874498
3.79318909,39.12813558,-0.07581027842846633,-0.07580748270890933
3.84787867,39.21161502,-0.07745929952523158,-0.07746762447377857
3.90320003,39.29465148,-0.07905587255215599,-0.07905293869956243
3.95916286,39.37723173,-0.08050282103895236,-0.08048779460131611
4.01577551,39.4593433,-0.08173719679559105,-0.08174268643458707
4.07304445,39.54097479,-0.08287136007113155,-0.08288090831758421
4.13097524,39.6221153,-0.08395362532634587,-0.0839349933548613
4.18957294,39.70275417,-0.08492091081339109,-0.0849254920945997
4.24884152,39.78288123,-0.08592750778507692,-0.08595703424356291
4.30878506,39.86248585,-0.0870742592134454,-0.08706001314239947
4.36940866,39.94155649,-0.08811753272153483,-0.08809530203164023
4.43071657,40.02008223,-0.08897990009458534,-0.08900644824819652
4.49271144,40.09805305,-0.08984329116660694,-0.0898446859580356
4.55539578,40.17545877,-0.09057990731281193,-0.09055377946190642
4.61877104,40.25228993,-0.09104567734174436,-0.09105439208381097
4.68283646,40.32853864,-0.09140135498917862,-0.09141648358998684
4.74759036,40.40419764,-0.0917060220001114,-0.09168756391638769
4.81303076,40.47926012,-0.09184225977677608,-0.09183421690436012
4.87915434,40.55372029,-0.09190799403151527,-0.09193048844748997
4.94595712,40.62757269,-0.0920949839881903,-0.0921000534711741
5.01343606,40.70081113,-0.09233255401762391,-0.09231908347866344
5.08158851,40.77342912,-0.09249088452249388,-0.09249335394252545
5.15041116,40.84542063,-0.09259731219334948,-0.09260162325758954
5.2199001,40.91677977,-0.09265036382037103,-0.09264739854400392
5.29005074,40.98750075,-0.0925982704442708,-0.09259522377144291
5.36085756,41.05757838,-0.09242385799671002,-0.0924259762938446
5.43231418,41.12700839,-0.09214549692567456,-0.09214213970720693
5.50441372,41.19578752,-0.09175684421257957,-0.091750323920968
5.5771485,41.26391331,-0.0912907243876287,-0.09130065161295564
5.65051022,41.33138383,-0.09085603204982648,-0.09085865602427876
5.72449081,41.398197,-0.0904458441693626,-0.09043831145886652
5.79908236,41.46435062,-0.09002262468114969,-0.0900235194631595
5.87427686,41.52984264,-0.089636719142554,-0.08965045749935799
5.95006657,41.59467082,-0.08932803398749341,-0.08932866294469237
6.02644421,41.65883237,-0.08897619482050537,-0.08896248902701527
6.10340219,41.72232487,-0.08845348941213883,-0.08844955926653096
6.18093177,41.78514723,-0.08779210645699326,-0.08779708517844352
6.25902335,41.84729952,-0.08707008634842597,-0.08706794000833792
6.33766674,41.9087822,-0.08630738439620737,-0.08631123539719748
6.41685149,41.96959614,-0.08554899654446793,-0.08554944907958639
6.49656746,42.02974249,-0.08479499039245285,-0.0847889538249321
6.57680468,42.08922256,-0.08404015396302465,-0.0840462076642602
6.65755309,42.14803769,-0.08334970190012067,-0.08335296504293836
6.73880316,42.2061889,-0.08271822233326291,-0.08272084554968046
6.82054575,42.26367685,-0.08210223339243307,-0.0820992186292667
6.90277168,42.32050207,-0.08142764901607435,-0.0814202927872505
6.98547149,42.3766657,-0.0806555553795705,-0.08065501744508297
7.06863528,42.43216985,-0.07983286132791635,-0.0798381067219584
7.15225279,42.48701709,-0.07901275160846069,-0.0790150288611863
7.23631375,42.54121005,-0.07818721470472793,-0.0781805768696632
7.32080809,42.59475165,-0.07732167115177656,-0.07731812734863935
7.40572546,42.6476452,-0.07645898289375296,-0.07647125022363957
7.49105547,42.69989405,-0.075683356244737,-0.07568044271735219
7.57678859,42.75150115,-0.07493587867013074,-0.07492758914204517
7.6629157,42.80246945,-0.0741916287881586,-0.07419556603783414
