longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37729616,31.96337673,41.683,23.349,-0.913,41.683,17.148,-0.727,-0.607,1.240,-1.185,-0.365,-0.008,0.138,-0.129,9.518,-0.121,0.352,-1.338,4
117.37729577,31.96337570,41.685,23.235,-0.950,41.685,17.269,-0.675,-0.575,1.236,-1.181,-0.366,-0.007,0.033,0.040,9.808,0.492,0.324,-1.151,4
117.37729539,31.96337466,41.686,23.120,-0.986,41.686,17.370,-0.641,-0.565,1.250,-1.193,-0.372,-0.006,-0.161,-0.055,10.042,-0.044,-0.049,-1.037,4
117.37729499,31.96337361,41.686,23.004,-1.024,41.686,17.488,-0.627,-0.588,1.259,-1.201,-0.377,-0.007,0.018,-0.059,9.642,0.091,-0.149,-1.387,4
117.37729459,31.96337255,41.688,22.886,-1.062,41.688,17.630,-0.605,-0.602,1.262,-1.203,-0.381,-0.008,-0.014,-0.095,9.552,0.341,-0.075,-1.412,4
117.37729419,31.96337150,41.688,22.769,-1.100,41.688,17.746,-0.550,-0.616,1.259,-1.199,-0.383,-0.007,0.107,0.101,10.259,0.356,-0.138,-1.012,4
117.37729378,31.96337044,41.687,22.652,-1.138,41.687,17.842,-0.558,-0.617,1.261,-1.201,-0.385,-0.008,-0.013,0.000,9.860,-0.694,0.142,-1.050,4
117.37729337,31.96336938,41.687,22.535,-1.177,41.687,17.963,-0.592,-0.594,1.264,-1.203,-0.389,-0.007,-0.031,-0.082,9.486,0.204,0.288,-1.326,4
117.37729295,31.96336832,41.690,22.417,-1.217,41.690,18.089,-0.501,-0.567,1.267,-1.205,-0.393,-0.007,0.015,0.066,9.768,0.580,0.349,-1.201,4
117.37729254,31.96336725,41.692,22.299,-1.256,41.692,18.193,-0.475,-0.552,1.271,-1.208,-0.396,-0.006,-0.049,-0.063,9.967,-0.406,-0.184,-0.987,4
117.37729213,31.96336618,41.694,22.179,-1.294,41.694,18.295,-0.505,-0.588,1.283,-1.218,-0.402,-0.007,0.004,0.095,9.601,-0.157,-0.260,-1.162,4
117.37729171,31.96336509,41.696,22.059,-1.334,41.696,18.431,-0.466,-0.589,1.285,-1.220,-0.405,-0.007,0.080,-0.016,9.693,0.453,0.350,-1.514,4
117.37729129,31.96336401,41.697,21.939,-1.374,41.697,18.570,-0.398,-0.557,1.283,-1.216,-0.408,-0.006,0.038,0.102,10.177,0.242,0.200,-1.163,4
117.37729085,31.96336294,41.697,21.820,-1.415,41.697,18.664,-0.392,-0.563,1.290,-1.222,-0.412,-0.007,-0.088,-0.050,9.751,-0.531,-0.221,-0.924,4
117.37729040,31.96336185,41.698,21.699,-1.457,41.698,18.778,-0.432,-0.589,1.305,-1.236,-0.419,-0.007,-0.028,-0.047,9.655,-0.009,-0.211,-1.424,4
117.37728996,31.96336076,41.699,21.579,-1.500,41.699,18.931,-0.358,-0.609,1.306,-1.236,-0.423,-0.008,0.027,0.100,9.818,0.878,-0.178,-1.500,4
